ID,Recency,Customer_Tenure_Days,Total_Purchases,Avg_Order_Value,Deal_Ratio,Web_channel_ratio,children
5524,58,663,25,64.68,0.12,0.32,0
2174,38,113,6,4.5,0.3333333333333333,0.16666666666666666,2
4141,26,312,21,36.95238095238095,0.047619047619047616,0.38095238095238093,0
6182,26,139,8,6.625,0.25,0.25,1
5324,94,161,19,22.210526315789473,0.2631578947368421,0.2631578947368421,1
7446,16,293,22,32.54545454545455,0.09090909090909091,0.2727272727272727,1
965,34,593,21,28.095238095238095,0.19047619047619047,0.3333333333333333,1
6177,32,417,10,16.9,0.2,0.4,1
4855,19,388,6,7.666666666666667,0.16666666666666666,0.5,1
5899,68,108,2,24.5,0.5,0.5,2
1994,11,226,4,4.75,0.25,0.25,1
387,59,593,6,10.166666666666666,0.16666666666666666,0.3333333333333333,0
2125,82,226,16,68.875,0.0625,0.1875,0
8180,53,226,15,20.666666666666668,0.2,0.4,2
2569,38,627,5,9.2,0.2,0.2,0
2114,23,582,26,50.57692307692308,0.038461538461538464,0.2692307692307692,0
9736,51,552,9,10.666666666666666,0.3333333333333333,0.3333333333333333,2
4939,20,667,13,24.384615384615383,0.15384615384615385,0.3076923076923077,0
6565,91,458,26,68.53846153846153,0.07692307692307693,0.4230769230769231,1
2278,86,603,8,16.625,0.25,0.25,1
9360,41,690,12,26.333333333333332,0.08333333333333333,0.3333333333333333,0
5376,42,539,43,40.23255813953488,0.3488372093023256,0.0,1
1993,63,553,17,57.1764705882353,0.17647058823529413,0.11764705882352941,1
4047,0,169,20,27.2,0.15,0.3,1
1409,69,468,20,22.2,0.35,0.35,1
7892,89,543,8,9.375,0.25,0.25,0
2404,4,398,14,18.357142857142858,0.2857142857142857,0.35714285714285715,2
5255,19,494,27,23.59259259259259,0.0,1.0,1
9422,26,394,9,14.555555555555555,0.2222222222222222,0.2222222222222222,1
1966,96,219,26,64.3076923076923,0.038461538461538464,0.23076923076923078,0
6864,34,38,8,3.75,0.25,0.375,0
3033,56,414,11,28.90909090909091,0.09090909090909091,0.18181818181818182,0
5710,31,627,9,13.333333333333334,0.2222222222222222,0.2222222222222222,1
7373,8,608,17,17.764705882352942,0.35294117647058826,0.23529411764705882,2
8755,4,494,18,66.44444444444444,0.05555555555555555,0.16666666666666666,0
10738,55,304,6,10.833333333333334,0.16666666666666666,0.3333333333333333,2
4339,37,180,28,32.607142857142854,0.17857142857142858,0.17857142857142858,1
10755,76,300,9,9.0,0.3333333333333333,0.3333333333333333,1
8595,99,138,7,9.571428571428571,0.2857142857142857,0.14285714285714285,1
2968,53,513,24,37.583333333333336,0.08333333333333333,0.2916666666666667,0
8601,3,426,21,66.42857142857143,0.09523809523809523,0.38095238095238093,1
503,88,474,7,7.571428571428571,0.2857142857142857,0.2857142857142857,1
8430,4,552,4,5.5,0.25,0.0,1
7281,80,236,9,20.666666666666668,0.1111111111111111,0.1111111111111111,0
2139,19,270,8,3.875,0.375,0.25,1
1371,72,1,16,61.5,0.0625,0.125,0
9909,24,597,10,12.2,0.3,0.3,0
7286,92,401,5,11.0,0.2,0.4,1
7244,96,179,10,12.4,0.3,0.2,3
6566,39,598,28,47.107142857142854,0.32142857142857145,0.17857142857142858,2
8614,29,48,17,29.823529411764707,0.058823529411764705,0.23529411764705882,1
4114,2,687,29,58.37931034482759,0.034482758620689655,0.20689655172413793,0
1331,54,543,7,10.285714285714286,0.2857142857142857,0.2857142857142857,1
2225,54,22,21,77.0,0.047619047619047616,0.19047619047619047,0
9381,57,382,23,26.347826086956523,0.30434782608695654,0.17391304347826086,2
6260,55,587,27,72.48148148148148,0.037037037037037035,0.1111111111111111,0
10383,30,453,21,52.04761904761905,0.047619047619047616,0.23809523809523808,0
7437,31,62,6,4.833333333333333,0.16666666666666666,0.16666666666666666,1
8557,57,377,7,6.571428571428571,0.2857142857142857,0.2857142857142857,1
8375,63,118,19,27.263157894736842,0.15789473684210525,0.42105263157894735,1
6853,12,360,21,68.47619047619048,0.047619047619047616,0.14285714285714285,0
3076,18,660,22,27.818181818181817,0.18181818181818182,0.18181818181818182,2
1012,26,496,24,36.833333333333336,0.16666666666666666,0.3333333333333333,1
6518,8,383,19,31.894736842105264,0.05263157894736842,0.3684210526315789,1
4137,29,205,16,67.25,0.0625,0.4375,0
8082,75,404,5,6.8,0.2,0.2,1
1386,0,49,4,2.75,0.25,0.25,2
9369,19,102,32,39.8125,0.03125,0.34375,1
4477,4,275,18,36.27777777777778,0.05555555555555555,0.2777777777777778,1
1357,90,447,19,82.21052631578948,0.3684210526315789,0.10526315789473684,3
1402,1,656,21,59.666666666666664,0.14285714285714285,0.19047619047619047,0
10629,25,653,9,12.11111111111111,0.3333333333333333,0.3333333333333333,1
6312,29,469,30,28.766666666666666,0.13333333333333333,0.3333333333333333,1
8132,88,450,24,27.541666666666668,0.20833333333333334,0.375,2
1050,58,60,8,8.125,0.125,0.25,0
5846,68,557,4,3.25,0.25,0.25,1
1859,34,671,19,99.47368421052632,0.05263157894736842,0.3684210526315789,0
7503,40,625,22,100.4090909090909,0.0,0.22727272727272727,0
10401,12,298,4,4.5,0.25,0.0,0
1618,9,543,21,32.95238095238095,0.09523809523809523,0.47619047619047616,0
3332,87,669,12,13.75,0.3333333333333333,0.25,1
2261,5,371,4,4.0,0.25,0.25,1
5346,87,361,9,8.777777777777779,0.3333333333333333,0.3333333333333333,1
4119,56,414,11,28.90909090909091,0.09090909090909091,0.18181818181818182,0
535,18,124,27,28.814814814814813,0.037037037037037035,0.1111111111111111,0
5268,95,322,7,8.0,0.2857142857142857,0.14285714285714285,2
273,48,348,13,11.615384615384615,0.38461538461538464,0.23076923076923078,2
4452,3,32,17,21.88235294117647,0.23529411764705882,0.35294117647058826,1
8504,70,48,19,71.89473684210526,0.05263157894736842,0.2631578947368421,0
771,79,159,10,19.4,0.1,0.2,1
8996,4,587,29,20.79310344827586,0.41379310344827586,0.2413793103448276,3
9235,45,33,4,4.5,0.25,0.25,2
5798,87,218,15,65.66666666666667,0.06666666666666667,0.13333333333333333,0
11178,69,98,5,6.4,0.2,0.2,1
2230,84,36,10,4.3,0.3,0.3,1
7516,30,38,6,7.5,0.16666666666666666,0.3333333333333333,1
7247,72,584,22,27.545454545454547,0.22727272727272727,0.3181818181818182,1
11100,37,444,7,9.0,0.2857142857142857,0.2857142857142857,2
4646,44,210,25,39.12,0.04,0.2,0
3037,32,374,16,25.625,0.125,0.3125,0
1473,0,341,7,10.285714285714286,0.2857142857142857,0.2857142857142857,1
1016,43,91,7,7.857142857142857,0.2857142857142857,0.2857142857142857,1
4518,59,435,27,43.2962962962963,0.07407407407407407,0.3333333333333333,1
9370,68,408,16,70.0,0.0625,0.375,0
8908,35,52,20,54.85,0.05,0.15,0
8373,94,201,5,5.8,0.2,0.2,1
7533,15,278,13,14.384615384615385,0.3076923076923077,0.3076923076923077,2
2683,56,512,26,35.0,0.15384615384615385,0.23076923076923078,2
3629,17,557,9,16.11111111111111,0.2222222222222222,0.3333333333333333,1
10991,18,569,14,60.714285714285715,0.07142857142857142,0.35714285714285715,0
5077,46,239,24,40.375,0.041666666666666664,0.25,1
7431,40,596,17,107.05882352941177,0.058823529411764705,0.4117647058823529,0
3267,27,4,20,30.4,0.15,0.4,1
999,95,543,25,29.2,0.04,0.24,0
9215,19,564,21,26.238095238095237,0.23809523809523808,0.2857142857142857,1
2286,27,292,8,14.25,0.25,0.25,2
1592,25,156,15,114.93333333333334,0.0,0.26666666666666666,0
367,74,495,20,28.85,0.25,0.45,1
5234,85,353,7,11.571428571428571,0.2857142857142857,0.14285714285714285,2
9862,37,227,7,4.714285714285714,0.2857142857142857,0.2857142857142857,1
9805,65,374,22,30.0,0.18181818181818182,0.2727272727272727,1
6205,13,125,9,8.88888888888889,0.3333333333333333,0.2222222222222222,1
8442,63,298,6,5.0,0.3333333333333333,0.16666666666666666,2
7386,83,433,5,8.6,0.2,0.2,1
7215,69,474,27,42.03703703703704,0.0,0.2222222222222222,0
1491,87,496,16,34.9375,0.125,0.1875,0
11071,37,434,16,120.1875,0.0625,0.1875,0
3381,51,21,8,11.25,0.25,0.25,2
8268,23,353,17,23.764705882352942,0.17647058823529413,0.35294117647058826,1
11051,72,50,23,28.73913043478261,0.17391304347826086,0.2608695652173913,2
8026,10,272,19,24.36842105263158,0.2631578947368421,0.2631578947368421,1
433,42,476,23,27.47826086956522,0.21739130434782608,0.4782608695652174,2
9597,10,139,19,38.1578947368421,0.05263157894736842,0.3684210526315789,0
1295,96,322,19,38.1578947368421,0.05263157894736842,0.3157894736842105,1
5290,51,319,16,17.4375,0.3125,0.3125,2
1685,21,469,23,64.43478260869566,0.043478260869565216,0.17391304347826086,0
5342,31,690,6,4.833333333333333,0.3333333333333333,0.16666666666666666,1
9579,61,357,9,11.777777777777779,0.3333333333333333,0.2222222222222222,3
7660,37,41,6,8.166666666666666,0.3333333333333333,0.16666666666666666,2
1461,74,336,7,5.428571428571429,0.2857142857142857,0.2857142857142857,2
821,46,618,22,94.4090909090909,0.045454545454545456,0.22727272727272727,0
11084,4,227,17,61.94117647058823,0.11764705882352941,0.17647058823529413,1
8690,73,436,23,60.21739130434783,0.043478260869565216,0.21739130434782608,0
2937,47,305,25,34.84,0.12,0.32,1
9701,13,467,12,26.0,0.25,0.3333333333333333,1
9949,36,619,15,58.46666666666667,0.2,0.2,2
10837,47,609,6,11.333333333333334,0.16666666666666666,0.3333333333333333,1
3120,49,305,4,5.5,0.25,0.25,1
5885,94,676,16,13.1875,0.4375,0.25,3
4050,65,8,8,15.875,0.125,0.25,0
3830,59,66,16,28.6875,0.0625,0.25,2
7987,96,114,19,24.210526315789473,0.21052631578947367,0.42105263157894735,1
7798,28,562,17,25.235294117647058,0.23529411764705882,0.4117647058823529,1
